Time,Slope,Offset,LineType
1555270246.31026,0.2962962962962964,81.85185185185175,RightAvg
1555270246.31026,0.5783471607962929,Maintain Course.
1555270246.389409,-0.3250000000000002,275.725,LeftAvg
1555270246.389409,0.2962962962962964,81.85185185185175,RightAvg
1555270246.389409,0.6789462260874483,Maintain Course.
1555270246.46635,-0.321917808219178,275.41780821917814,LeftAvg
1555270246.46635,0.2857142857142838,86.57142857142948,RightAvg
1555270246.46635,0.9161602132487199,Maintain Course.
1555270246.54652,-0.3199999999999995,275.32,LeftAvg
1555270246.54652,0.29230769230769205,83.33846153846179,RightAvg
1555270246.54652,0.6984761290367711,Maintain Course.
1555270246.629189,-0.3221476510067122,275.7516778523491,LeftAvg
1555270246.629189,0.3000000000000004,79.8999999999997,RightAvg
1555270246.629189,0.5384321910157073,Maintain Course.
